PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
625, 1073746816, -144.28140258789062, 14.583483695983887, -109.3775405883789, -11.00980281829834, 0.5731324553489685, 10.299009323120117, 31.416852951049805, -303.919189453125, 33.25385284423828, 0.8251953125, 0.504150390625, -0.50244140625, 0, 
626, 1073755149, -143.71473693847656, 16.85834312438965, -108.08509826660156, -11.344569206237793, 1.2158539295196533, 10.816351890563965, 25.737167358398438, -311.6773681640625, 39.81145095825195, 0.802490234375, 0.506103515625, -0.52392578125, 0, 
627, 1073763482, -143.10240173339844, 19.27775764465332, -106.76918029785156, -10.835150718688965, 1.4056144952774048, 10.218354225158691, 18.64168357849121, -315.9358215332031, 47.791778564453125, 0.772705078125, 0.502197265625, -0.5478515625, 0, 
628, 1073771815, -142.55319213867188, 21.614410400390625, -105.4937744140625, -10.26235580444336, 1.2999324798583984, 9.473690032958984, 12.200905799865723, -313.15472412109375, 55.2760124206543, 0.7470703125, 0.501708984375, -0.564453125, 0, 
629, 1073780148, -141.95968627929688, 23.998533248901367, -104.2345962524414, -10.01641845703125, 1.3372153043746948, 9.061760902404785, 6.483118057250977, -304.6537780761719, 60.664451599121094, 0.7216796875, 0.499755859375, -0.5810546875, 0, 
630, 1073788481, -141.45126342773438, 26.21615219116211, -103.04843139648438, -10.004204750061035, 1.6009397506713867, 8.820380210876465, 0.3764435648918152, -291.8102722167969, 63.88161087036133, 0.701416015625, 0.504150390625, -0.5947265625, 0, 
631, 1073796814, -140.91748046875, 28.411611557006836, -101.90908813476562, -9.807875633239746, 1.656813621520996, 8.31709098815918, -5.046102046966553, -274.36102294921875, 66.61750030517578, 0.677001953125, 0.500732421875, -0.6103515625, 0, 
632, 1073805147, -140.4814910888672, 30.383943557739258, -100.91788482666016, -9.322273254394531, 1.3687512874603271, 7.323305130004883, -6.300866603851318, -251.86805725097656, 69.851806640625, 0.6572265625, 0.501953125, -0.619873046875, 0, 
633, 1073813480, -139.9922332763672, 32.2663688659668, -100.05574035644531, -8.681046485900879, 0.9633749127388, 6.150557994842529, -1.515488624572754, -222.88291931152344, 73.08370971679688, 0.64306640625, 0.503662109375, -0.63330078125, 0, 
634, 1073821813, -139.59710693359375, 33.841957092285156, -99.45208740234375, -8.307515144348145, 0.5785437822341919, 5.350828170776367, 7.677104473114014, -186.6690216064453, 75.82125091552734, 0.6240234375, 0.504638671875, -0.635498046875, 0, 
635, 1073830146, -139.15452575683594, 35.255714416503906, -99.05436706542969, -8.582469940185547, 0.40926802158355713, 5.451522350311279, 19.641212463378906, -146.86534118652344, 77.40966796875, 0.6181640625, 0.504150390625, -0.642333984375, 0, 
636, 1073838479, -138.8275909423828, 36.34556198120117, -98.94381713867188, -9.856489181518555, 0.5558385848999023, 6.619199752807617, 31.247880935668945, -108.8232421875, 77.83856964111328, 0.613037109375, 0.50244140625, -0.651611328125, 0, 
637, 1073846812, -138.46006774902344, 37.34735870361328, -98.97854614257812, -12.361568450927734, 0.7891539335250854, 9.077535629272461, 40.34032440185547, -80.35871887207031, 78.77195739746094, 0.607177734375, 0.5029296875, -0.655517578125, 0, 
638, 1073855145, -138.1764678955078, 38.20046615600586, -99.16365814208984, -15.547418594360352, 1.1115880012512207, 12.008359909057617, 47.41436767578125, -67.85356903076172, 81.33305358886719, 0.607177734375, 0.5029296875, -0.658935546875, 0, 
639, 1073863478, -137.77366638183594, 39.18722915649414, -99.28999328613281, -18.260467529296875, 1.4442780017852783, 13.931391716003418, 51.725852966308594, -72.17121887207031, 84.80213928222656, 0.610107421875, 0.49609375, -0.6640625, 0, 
640, 1073871811, -137.3885498046875, 40.212440490722656, -99.37696075439453, -20.632658004760742, 1.4104400873184204, 14.782601356506348, 52.655982971191406, -88.47872161865234, 89.05717468261719, 0.604736328125, 0.492919921875, -0.6708984375, 0, 
641, 1073880144, -136.82958984375, 41.51887130737305, -99.22342681884766, -23.648326873779297, 1.1888829469680786, 15.429353713989258, 49.082374572753906, -116.18409729003906, 93.1021728515625, 0.596435546875, 0.488037109375, -0.6796875, 0, 
642, 1073888477, -136.2108917236328, 42.99130630493164, -98.8189697265625, -26.517980575561523, 1.3779772520065308, 15.562744140625, 41.3784294128418, -156.0051727294922, 95.65703582763672, 0.58984375, 0.48583984375, -0.6845703125, 0, 
643, 1073896810, -135.3318328857422, 44.81380844116211, -97.90673828125, -27.674070358276367, 1.9388684034347534, 13.73694896697998, 23.730632781982422, -203.2289276123047, 92.61852264404297, 0.5810546875, 0.479736328125, -0.6943359375, 0, 
644, 1073905143, -134.41078186035156, 46.74396896362305, -96.56324005126953, -27.166501998901367, 2.038181781768799, 10.448967933654785, -5.254356861114502, -246.17018127441406, 84.94941711425781, 0.560546875, 0.48193359375, -0.701904296875, 0, 
645, 1073913476, -133.28236389160156, 48.89203643798828, -94.68255615234375, -26.300376892089844, 1.9905526638031006, 6.230213165283203, -37.67314529418945, -278.98309326171875, 77.74467468261719, 0.53759765625, 0.48193359375, -0.714599609375, 0, 
646, 1073921809, -132.14524841308594, 50.99980926513672, -92.45948028564453, -25.034555435180664, 1.9159141778945923, 1.1344194412231445, -68.00263977050781, -300.76507568359375, 69.50286102294922, 0.509521484375, 0.490234375, -0.721435546875, 0, 
647, 1073930142, -130.78573608398438, 53.11538314819336, -89.81949615478516, -23.35468292236328, 0.9742534160614014, -4.33200740814209, -92.53955841064453, -304.9010925292969, 58.617149353027344, 0.481689453125, 0.499267578125, -0.726806640625, 0, 
648, 1073938475, -129.4742431640625, 54.92543029785156, -87.14837646484375, -21.22081184387207, -1.2220276594161987, -9.59172248840332, -102.26756286621094, -287.0241394042969, 44.80420684814453, 0.450927734375, 0.506591796875, -0.731689453125, 0, 
649, 1073946808, -127.9571762084961, 56.49698257446289, -84.48725891113281, -18.242717742919922, -3.6026408672332764, -14.204854965209961, -87.54976654052734, -249.0907745361328, 32.664913177490234, 0.421142578125, 0.520263671875, -0.73388671875, 0, 
650, 1073955141, -126.64189910888672, 57.62390899658203, -82.3786392211914, -15.14444637298584, -4.975319862365723, -17.625225067138672, -54.76141357421875, -194.45626831054688, 24.32082176208496, 0.405029296875, 0.52880859375, -0.73291015625, 0, 
651, 1073963474, -125.74923706054688, 58.25251388549805, -81.14212799072266, -7.186488151550293, -5.75546407699585, -20.895597457885742, -24.2106990814209, -99.10250091552734, 12.859349250793457, 0.385986328125, 0.532470703125, -0.7314453125, 0, 
652, 1073971807, -126.2839126586914, 58.07304382324219, -81.70016479492188, -9.455120086669922, -3.493483781814575, -25.361440658569336, -7.496860980987549, 38.166351318359375, 3.491058588027954, 0.385498046875, 0.534423828125, -0.73876953125, 0, 
653, 1073980140, -127.52102661132812, 57.33655548095703, -83.2125015258789, -8.624589920043945, -1.8210031986236572, -23.441272735595703, -0.3966688811779022, 139.19537353515625, -13.929082870483398, 0.396240234375, 0.536865234375, -0.7333984375, 0, 
654, 1073988473, -129.57516479492188, 56.13279724121094, -85.65372467041016, 4.472973823547363, -0.18636927008628845, -4.641590595245361, -1.7510080337524414, 212.605224609375, -12.677428245544434, 0.418701171875, 0.538818359375, -0.73046875, 0, 
655, 1073996806, -131.22772216796875, 55.141090393066406, -87.82709503173828, -9.98449420928955, 2.401724100112915, 22.864059448242188, 11.960402488708496, 197.2799072265625, 3.0560243129730225, 0.440673828125, 0.5400390625, -0.725830078125, 0, 
656, 1074005139, -132.545166015625, 54.3726692199707, -89.73485565185547, -11.378173828125, 3.1327316761016846, 23.080944061279297, 28.664094924926758, 156.83731079101562, 19.69801139831543, 0.463134765625, 0.53515625, -0.725341796875, 0, 
657, 1074013472, -133.4426727294922, 53.749691009521484, -91.30966186523438, -5.5874481201171875, 0.21739989519119263, 10.117637634277344, 40.50254821777344, 139.98512268066406, 18.93134307861328, 0.477294921875, 0.530517578125, -0.727294921875, 0, 
